Domain,Round,TP (M),TP (S),FP,FN (M),FN (S),NOPUNISH,PRECISION (overall),RECALL (overall),F0.5 (overall),F1 (overall),F2 (overall),PRECISION (M),RECALL (M),F0.5 (M),F1 (M),F2 (M),PRECISION (S),RECALL (S),F0.5 (S),F1 (S),F2 (S),Missed_Classes,Missed_ShouldHave
camperplus,Round 1,8.0,5.0,6.0,0.0,6.0,2.0,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5714285714285714,1.0,0.625,0.7272727272727273,0.8695652173913042,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,,"behavior, camp, camp worker, counselor, positions, schedules"
camperplus,Round 2,8.0,7.0,7.0,0.0,4.0,1.0,0.6818181818181818,0.7894736842105263,0.7009345794392524,0.7317073170731707,0.7653061224489797,0.5333333333333333,1.0,0.5882352941176471,0.6956521739130436,0.851063829787234,0.5,0.6363636363636364,0.5223880597014925,0.56,0.603448275862069,,"behavior, camp worker, counselor, positions"
camperplus,Round 3,6.0,7.0,5.0,2.0,4.0,2.0,0.7222222222222222,0.6842105263157895,0.7142857142857143,0.7027027027027027,0.6914893617021277,0.5454545454545454,0.75,0.5769230769230769,0.631578947368421,0.6976744186046512,0.5833333333333334,0.6363636363636364,0.5932203389830508,0.6086956521739131,0.625,"repair, rules","behavior, counselor, photos, positions"
camperplus,Round 4,7.0,7.0,5.0,1.0,4.0,0.0,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5833333333333334,0.875,0.6250000000000002,0.7000000000000001,0.7954545454545456,0.5833333333333334,0.6363636363636364,0.5932203389830508,0.6086956521739131,0.625,repair,"behavior, camp, counselor, positions"
camperplus,Round 5,6.0,5.0,3.0,2.0,6.0,3.0,0.7857142857142857,0.5789473684210527,0.7333333333333334,0.6666666666666667,0.6111111111111112,0.6666666666666666,0.75,0.6818181818181819,0.7058823529411765,0.7317073170731707,0.625,0.45454545454545453,0.5813953488372092,0.5263157894736842,0.4807692307692307,"repair, rules","attendance, behavior, camp, counselor, positions, supplies"
camperplus,Round 6,8.0,7.0,7.0,0.0,4.0,1.0,0.6818181818181818,0.7894736842105263,0.7009345794392524,0.7317073170731707,0.7653061224489797,0.5333333333333333,1.0,0.5882352941176471,0.6956521739130436,0.851063829787234,0.5,0.6363636363636364,0.5223880597014925,0.56,0.603448275862069,,"behavior, camp worker, counselor, positions"
camperplus,Round 7,8.0,7.0,6.0,0.0,4.0,0.0,0.7142857142857143,0.7894736842105263,0.7281553398058253,0.7500000000000001,0.7731958762886598,0.5714285714285714,1.0,0.625,0.7272727272727273,0.8695652173913042,0.5384615384615384,0.6363636363636364,0.5555555555555556,0.5833333333333334,0.6140350877192983,,"behavior, camp worker, counselor, positions"
camperplus,Round 8,8.0,8.0,7.0,0.0,3.0,2.0,0.6956521739130435,0.8421052631578947,0.7207207207207208,0.761904761904762,0.8080808080808081,0.5333333333333333,1.0,0.5882352941176471,0.6956521739130436,0.851063829787234,0.5333333333333333,0.7272727272727273,0.5633802816901409,0.6153846153846153,0.6779661016949153,,"behavior, camp, counselor"
camperplus,Round 9,8.0,6.0,7.0,0.0,5.0,0.0,0.6666666666666666,0.7368421052631579,0.6796116504854368,0.7,0.7216494845360824,0.5333333333333333,1.0,0.5882352941176471,0.6956521739130436,0.851063829787234,0.46153846153846156,0.5454545454545454,0.4761904761904761,0.4999999999999999,0.5263157894736841,,"behavior, camp, camp worker, counselor, positions"
camperplus,Round 10,7.0,6.0,8.0,1.0,5.0,0.0,0.6190476190476191,0.6842105263157895,0.6310679611650486,0.6500000000000001,0.6701030927835052,0.4666666666666667,0.875,0.5147058823529411,0.608695652173913,0.7446808510638298,0.42857142857142855,0.5454545454545454,0.4477611940298507,0.4799999999999999,0.5172413793103448,repair,"behavior, camp, camp worker, counselor, positions"
camperplus,Average,7.4,6.5,6.1,0.6,4.5,1.1,0.6988277677064862,0.7315789473684211,0.7030096510253531,0.7115741396999421,0.7227294610979202,0.5538311688311689,0.925,0.6001388317564789,0.688331110268114,0.8112902886127742,0.5208116883116883,0.5909090909090908,0.5310045108217774,0.5496970497084913,0.5727769595237066,,
