Domain,Round,TP (M),TP (S),FP,FN (M),FN (S),NOPUNISH,PRECISION (overall),RECALL (overall),F0.5 (overall),F1 (overall),F2 (overall),PRECISION (M),RECALL (M),F0.5 (M),F1 (M),F2 (M),PRECISION (S),RECALL (S),F0.5 (S),F1 (S),F2 (S),Missed_Classes,Missed_ShouldHave
grocery,Round 1,3.0,5.0,19.0,1.0,1.0,0.0,0.2962962962962963,0.8,0.3389830508474576,0.43243243243243246,0.5970149253731343,0.13636363636363635,0.75,0.16304347826086957,0.23076923076923075,0.39473684210526316,0.20833333333333334,0.8333333333333334,0.2450980392156863,0.33333333333333337,0.5208333333333334,employee,manager
grocery,Round 2,4.0,5.0,15.0,0.0,1.0,0.0,0.375,0.9,0.42452830188679247,0.5294117647058825,0.703125,0.21052631578947367,1.0,0.25,0.34782608695652173,0.5714285714285714,0.25,0.8333333333333334,0.29069767441860467,0.3846153846153846,0.5681818181818181,,manager
grocery,Round 3,3.0,5.0,7.0,1.0,1.0,0.0,0.5333333333333333,0.8,0.5714285714285714,0.64,0.7272727272727272,0.3,0.75,0.34090909090909094,0.4285714285714285,0.576923076923077,0.4166666666666667,0.8333333333333334,0.462962962962963,0.5555555555555556,0.6944444444444445,employee,manager
grocery,Round 4,4.0,4.0,6.0,0.0,2.0,0.0,0.5714285714285714,0.8,0.6060606060606061,0.6666666666666666,0.7407407407407408,0.4,1.0,0.45454545454545453,0.5714285714285715,0.7692307692307692,0.4,0.6666666666666666,0.43478260869565216,0.5,0.5882352941176471,,"manager, working hours"
grocery,Round 5,4.0,5.0,19.0,0.0,1.0,0.0,0.32142857142857145,0.9,0.36885245901639346,0.4736842105263158,0.6617647058823529,0.17391304347826086,1.0,0.20833333333333334,0.29629629629629634,0.5128205128205128,0.20833333333333334,0.8333333333333334,0.2450980392156863,0.33333333333333337,0.5208333333333334,,manager
grocery,Round 6,3.0,5.0,19.0,1.0,1.0,0.0,0.2962962962962963,0.8,0.3389830508474576,0.43243243243243246,0.5970149253731343,0.13636363636363635,0.75,0.16304347826086957,0.23076923076923075,0.39473684210526316,0.20833333333333334,0.8333333333333334,0.2450980392156863,0.33333333333333337,0.5208333333333334,employee,manager
grocery,Round 7,4.0,5.0,10.0,0.0,1.0,0.0,0.47368421052631576,0.9,0.5232558139534884,0.6206896551724138,0.7627118644067797,0.2857142857142857,1.0,0.3333333333333333,0.4444444444444445,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.37878787878787873,0.47619047619047616,0.6410256410256411,,manager
grocery,Round 8,3.0,4.0,6.0,1.0,2.0,0.0,0.5384615384615384,0.7,0.564516129032258,0.608695652173913,0.660377358490566,0.3333333333333333,0.75,0.375,0.46153846153846156,0.6000000000000001,0.4,0.6666666666666666,0.43478260869565216,0.5,0.5882352941176471,employee,"manager, working hours"
grocery,Round 9,3.0,4.0,8.0,1.0,2.0,0.0,0.4666666666666667,0.7,0.5,0.56,0.6363636363636365,0.2727272727272727,0.75,0.3125,0.39999999999999997,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.3703703703703704,0.4444444444444444,0.5555555555555556,employee,"manager, working hours"
grocery,Round 10,3.0,5.0,9.0,1.0,1.0,0.0,0.47058823529411764,0.8,0.5128205128205128,0.5925925925925927,0.7017543859649122,0.25,0.75,0.28846153846153844,0.375,0.5357142857142857,0.35714285714285715,0.8333333333333334,0.4032258064516129,0.5,0.6578947368421053,employee,manager
grocery,Average,3.4,4.7,11.8,0.6,1.3,0.0,0.4343183719731708,0.8100000000000002,0.4749428495893538,0.5556605406702648,0.6788140269867984,0.2498941523769899,0.85,0.288916970710449,0.3786643750774185,0.5577813122549965,0.3115476190476191,0.7833333333333334,0.35109040280297926,0.43608058608058603,0.5856072784284858,,
