Domain,Round,TP (M),TP (S),FP,FN (M),FN (S),NOPUNISH,PRECISION (overall),RECALL (overall),F0.5 (overall),F1 (overall),F2 (overall),PRECISION (M),RECALL (M),F0.5 (M),F1 (M),F2 (M),PRECISION (S),RECALL (S),F0.5 (S),F1 (S),F2 (S),Missed_Classes,Missed_ShouldHave
planningpoker,Round 1,1.0,3.0,7.0,1.0,1.0,0.0,0.36363636363636365,0.6666666666666666,0.4,0.4705882352941177,0.5714285714285715,0.125,0.5,0.14705882352941177,0.2,0.3125,0.3,0.75,0.34090909090909094,0.4285714285714285,0.576923076923077,item,estimators
planningpoker,Round 2,2.0,3.0,6.0,0.0,1.0,0.0,0.45454545454545453,0.8333333333333334,0.5,0.5882352941176471,0.7142857142857144,0.25,1.0,0.29411764705882354,0.4,0.625,0.3333333333333333,0.75,0.375,0.46153846153846156,0.6000000000000001,,estimators
planningpoker,Round 3,1.0,3.0,20.0,1.0,1.0,0.0,0.16666666666666666,0.6666666666666666,0.19607843137254904,0.26666666666666666,0.4166666666666667,0.047619047619047616,0.5,0.05813953488372093,0.08695652173913042,0.17241379310344826,0.13043478260869565,0.75,0.15624999999999997,0.22222222222222218,0.3846153846153845,item,estimators
planningpoker,Round 4,2.0,3.0,8.0,0.0,1.0,0.0,0.38461538461538464,0.8333333333333334,0.4310344827586207,0.5263157894736842,0.6756756756756757,0.2,1.0,0.23809523809523808,0.33333333333333337,0.5555555555555556,0.2727272727272727,0.75,0.3125,0.39999999999999997,0.5555555555555556,,estimators
planningpoker,Round 5,1.0,3.0,6.0,1.0,1.0,0.0,0.4,0.6666666666666666,0.43478260869565216,0.5,0.5882352941176471,0.14285714285714285,0.5,0.16666666666666666,0.22222222222222224,0.3333333333333333,0.3333333333333333,0.75,0.375,0.46153846153846156,0.6000000000000001,item,estimators
planningpoker,Round 6,2.0,3.0,5.0,0.0,1.0,0.0,0.5,0.8333333333333334,0.5434782608695652,0.625,0.7352941176470589,0.2857142857142857,1.0,0.3333333333333333,0.4444444444444445,0.6666666666666666,0.375,0.75,0.4166666666666667,0.5,0.625,,estimators
planningpoker,Round 7,2.0,3.0,8.0,0.0,1.0,0.0,0.38461538461538464,0.8333333333333334,0.4310344827586207,0.5263157894736842,0.6756756756756757,0.2,1.0,0.23809523809523808,0.33333333333333337,0.5555555555555556,0.2727272727272727,0.75,0.3125,0.39999999999999997,0.5555555555555556,,estimators
planningpoker,Round 8,2.0,3.0,5.0,0.0,1.0,0.0,0.5,0.8333333333333334,0.5434782608695652,0.625,0.7352941176470589,0.2857142857142857,1.0,0.3333333333333333,0.4444444444444445,0.6666666666666666,0.375,0.75,0.4166666666666667,0.5,0.625,,estimators
planningpoker,Round 9,1.0,3.0,7.0,1.0,1.0,0.0,0.36363636363636365,0.6666666666666666,0.4,0.4705882352941177,0.5714285714285715,0.125,0.5,0.14705882352941177,0.2,0.3125,0.3,0.75,0.34090909090909094,0.4285714285714285,0.576923076923077,item,estimators
planningpoker,Round 10,2.0,3.0,6.0,0.0,1.0,0.0,0.45454545454545453,0.8333333333333334,0.5,0.5882352941176471,0.7142857142857144,0.25,1.0,0.29411764705882354,0.4,0.625,0.3333333333333333,0.75,0.375,0.46153846153846156,0.6000000000000001,,card
planningpoker,Average,1.6,3.0,7.8,0.4,1.0,0.0,0.39722610722610724,0.7666666666666667,0.43798865273245724,0.5186945304437565,0.6398270118858356,0.1911904761904762,0.8,0.22500162855840009,0.30647342995169086,0.4825191570881226,0.3025889328063241,0.75,0.34214015151515154,0.4263980463980464,0.569957264957265,,
