Domain,Round,TP (M),TP (S),FP,FN (M),FN (S),NOPUNISH,PRECISION (overall),RECALL (overall),F0.5 (overall),F1 (overall),F2 (overall),PRECISION (M),RECALL (M),F0.5 (M),F1 (M),F2 (M),PRECISION (S),RECALL (S),F0.5 (S),F1 (S),F2 (S),Missed_Classes,Missed_ShouldHave
school,Round 1,4.0,6.0,9.0,4.0,4.0,0.0,0.5263157894736842,0.5555555555555556,0.5319148936170213,0.5405405405405405,0.5494505494505494,0.3076923076923077,0.5,0.33333333333333337,0.380952380952381,0.4444444444444445,0.4,0.6,0.4285714285714286,0.48,0.5454545454545454,"administrator, guardian, student, teacher","answer, behavior, material, mentor"
school,Round 2,4.0,8.0,8.0,4.0,2.0,0.0,0.6,0.6666666666666666,0.6122448979591836,0.631578947368421,0.6521739130434783,0.3333333333333333,0.5,0.3571428571428571,0.4,0.45454545454545453,0.5,0.8,0.5405405405405405,0.6153846153846154,0.7142857142857143,"administrator, guardian, student, teacher","material, mentor"
school,Round 3,4.0,6.0,7.0,4.0,4.0,0.0,0.5882352941176471,0.5555555555555556,0.5813953488372092,0.5714285714285715,0.5617977528089887,0.36363636363636365,0.5,0.38461538461538464,0.4210526315789474,0.4651162790697675,0.46153846153846156,0.6,0.48387096774193544,0.5217391304347826,0.5660377358490566,"administrator, guardian, student, teacher","answer, behavior, material, mentor"
school,Round 4,5.0,7.0,11.0,3.0,3.0,0.0,0.5217391304347826,0.6666666666666666,0.5454545454545454,0.5853658536585366,0.6315789473684211,0.3125,0.625,0.3472222222222222,0.4166666666666667,0.5208333333333334,0.3888888888888889,0.7,0.4268292682926829,0.5,0.6034482758620688,"administrator, guardian, teacher","answer, behavior, mentor"
school,Round 5,4.0,7.0,7.0,4.0,3.0,0.0,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.36363636363636365,0.5,0.38461538461538464,0.4210526315789474,0.4651162790697675,0.5,0.7,0.5303030303030303,0.5833333333333334,0.6481481481481481,"administrator, guardian, student, teacher","behavior, material, mentor"
school,Round 6,4.0,6.0,9.0,4.0,4.0,0.0,0.5263157894736842,0.5555555555555556,0.5319148936170213,0.5405405405405405,0.5494505494505494,0.3076923076923077,0.5,0.33333333333333337,0.380952380952381,0.4444444444444445,0.4,0.6,0.4285714285714286,0.48,0.5454545454545454,"administrator, guardian, student, teacher","answer, behavior, material, mentor"
school,Round 7,4.0,7.0,9.0,4.0,3.0,0.0,0.55,0.6111111111111112,0.5612244897959184,0.5789473684210527,0.5978260869565217,0.3076923076923077,0.5,0.33333333333333337,0.380952380952381,0.4444444444444445,0.4375,0.7,0.4729729729729729,0.5384615384615384,0.6249999999999999,"administrator, guardian, student, teacher","behavior, material, mentor"
school,Round 8,5.0,6.0,10.0,3.0,4.0,0.0,0.5238095238095238,0.6111111111111112,0.5392156862745099,0.5641025641025642,0.5913978494623657,0.3333333333333333,0.625,0.3676470588235293,0.43478260869565216,0.5319148936170213,0.375,0.6,0.40540540540540543,0.4615384615384615,0.5357142857142857,"administrator, guardian, teacher","answer, behavior, material, mentor"
school,Round 9,4.0,8.0,9.0,4.0,2.0,0.0,0.5714285714285714,0.6666666666666666,0.588235294117647,0.6153846153846153,0.6451612903225806,0.3076923076923077,0.5,0.33333333333333337,0.380952380952381,0.4444444444444445,0.47058823529411764,0.8,0.5128205128205128,0.5925925925925927,0.7017543859649122,"administrator, guardian, student, teacher","material, mentor"
school,Round 10,4.0,6.0,7.0,4.0,4.0,0.0,0.5882352941176471,0.5555555555555556,0.5813953488372092,0.5714285714285715,0.5617977528089887,0.36363636363636365,0.5,0.38461538461538464,0.4210526315789474,0.4651162790697675,0.46153846153846156,0.6,0.48387096774193544,0.5217391304347826,0.5660377358490566,"administrator, guardian, student, teacher","answer, behavior, material, mentor"
school,Average,4.2,6.7,8.6,3.8,3.3,0.0,0.560719050396665,0.6055555555555556,0.5684106509621376,0.5810428683984524,0.5951745802783555,0.3300844988344988,0.525,0.3559191625368096,0.4038416693908685,0.46804202964828895,0.4395054047259929,0.6699999999999998,0.4713756522961872,0.5294788802180106,0.6051335372582334,,
