Domain,Round,TP (M),TP (S),FP,FN (M),FN (S),NOPUNISH,PRECISION (overall),RECALL (overall),F0.5 (overall),F1 (overall),F2 (overall),PRECISION (M),RECALL (M),F0.5 (M),F1 (M),F2 (M),PRECISION (S),RECALL (S),F0.5 (S),F1 (S),F2 (S),Missed_Classes,Missed_ShouldHave
sports,Round 1,6.0,3.0,7.0,3.0,1.0,0.0,0.5625,0.6923076923076923,0.5844155844155844,0.6206896551724138,0.6617647058823529,0.46153846153846156,0.6666666666666666,0.49180327868852464,0.5454545454545455,0.6122448979591837,0.3,0.75,0.34090909090909094,0.4285714285714285,0.576923076923077,"customer, payment information, trainer",person
sports,Round 2,7.0,3.0,6.0,2.0,1.0,1.0,0.625,0.7692307692307693,0.6493506493506493,0.6896551724137931,0.7352941176470588,0.5384615384615384,0.7777777777777778,0.5737704918032788,0.6363636363636364,0.7142857142857144,0.3333333333333333,0.75,0.375,0.46153846153846156,0.6000000000000001,"customer, trainer",person
sports,Round 3,7.0,3.0,19.0,2.0,1.0,1.0,0.3448275862068966,0.7692307692307693,0.3875968992248062,0.47619047619047616,0.6172839506172839,0.2692307692307692,0.7777777777777778,0.3097345132743363,0.39999999999999997,0.5645161290322581,0.13636363636363635,0.75,0.16304347826086957,0.23076923076923075,0.39473684210526316,"customer, trainer",person
sports,Round 4,4.0,2.0,6.0,5.0,2.0,0.0,0.5,0.46153846153846156,0.49180327868852464,0.48000000000000004,0.46875,0.4,0.4444444444444444,0.4081632653061225,0.4210526315789474,0.4347826086956522,0.25,0.5,0.2777777777777778,0.3333333333333333,0.4166666666666667,"customer, payment information, schedule, subscription, trainer","person, spot"
sports,Round 5,5.0,2.0,7.0,4.0,2.0,0.0,0.5,0.5384615384615384,0.5072463768115941,0.5185185185185186,0.5303030303030303,0.4166666666666667,0.5555555555555556,0.4385964912280702,0.4761904761904762,0.5208333333333334,0.2222222222222222,0.5,0.25,0.30769230769230765,0.4,"customer, payment information, trainer, training sessions","person, spot"
sports,Round 6,7.0,2.0,8.0,2.0,2.0,0.0,0.5294117647058824,0.6923076923076923,0.5555555555555556,0.5999999999999999,0.6521739130434783,0.4666666666666667,0.7777777777777778,0.5072463768115942,0.5833333333333334,0.6862745098039216,0.2,0.5,0.22727272727272727,0.28571428571428575,0.3846153846153846,"payment information, subscription","person, spot"
sports,Round 7,4.0,2.0,7.0,5.0,2.0,1.0,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.36363636363636365,0.4444444444444444,0.37735849056603765,0.39999999999999997,0.42553191489361697,0.2222222222222222,0.5,0.25,0.30769230769230765,0.4,"customer, lessons, payment information, schedule, trainer","person, spot"
sports,Round 8,6.0,2.0,4.0,3.0,2.0,1.0,0.6666666666666666,0.6153846153846154,0.6557377049180327,0.64,0.625,0.6,0.6666666666666666,0.6122448979591836,0.631578947368421,0.6521739130434783,0.3333333333333333,0.5,0.3571428571428571,0.4,0.45454545454545453,"customer, payment information, trainer","person, spot"
sports,Round 9,6.0,4.0,5.0,3.0,0.0,1.0,0.6666666666666666,0.7692307692307693,0.684931506849315,0.7142857142857142,0.7462686567164178,0.5454545454545454,0.6666666666666666,0.5660377358490566,0.6,0.6382978723404255,0.4444444444444444,1.0,0.5,0.6153846153846153,0.8,"customer, payment information, trainer",
sports,Round 10,7.0,3.0,7.0,2.0,1.0,1.0,0.5882352941176471,0.7692307692307693,0.617283950617284,0.6666666666666667,0.7246376811594204,0.5,0.7777777777777778,0.5384615384615384,0.6086956521739131,0.7000000000000001,0.3,0.75,0.34090909090909094,0.4285714285714285,0.576923076923077,"customer, trainer",spot
sports,Average,5.9,2.6,7.6,3.1,1.4,0.6,0.544484643990222,0.6538461538461539,0.5595459967969808,0.5867544664786044,0.6223014516907505,0.45616550116550114,0.6555555555555557,0.48234170799477427,0.5302669222463272,0.5948940893387584,0.2741919191919192,0.65,0.30820550222724136,0.3799267399267399,0.5004410501778922,,
