Domain,Round,TP (M),TP (S),FP,FN (M),FN (S),NOPUNISH,PRECISION (overall),RECALL (overall),F0.5 (overall),F1 (overall),F2 (overall),PRECISION (M),RECALL (M),F0.5 (M),F1 (M),F2 (M),PRECISION (S),RECALL (S),F0.5 (S),F1 (S),F2 (S),Missed_Classes,Missed_ShouldHave
supermarket,Round 1,5.0,5.0,8.0,1.0,1.0,0.0,0.5555555555555556,0.8333333333333334,0.5952380952380952,0.6666666666666667,0.7575757575757576,0.38461538461538464,0.8333333333333334,0.4310344827586207,0.5263157894736842,0.6756756756756757,0.38461538461538464,0.8333333333333334,0.4310344827586207,0.5263157894736842,0.6756756756756757,customer,newsletter
supermarket,Round 2,5.0,6.0,19.0,1.0,0.0,0.0,0.36666666666666664,0.9166666666666666,0.41666666666666663,0.5238095238095238,0.7051282051282051,0.20833333333333334,0.8333333333333334,0.2450980392156863,0.33333333333333337,0.5208333333333334,0.24,1.0,0.2830188679245283,0.3870967741935484,0.6122448979591837,customer,
supermarket,Round 3,5.0,6.0,13.0,1.0,0.0,0.0,0.4583333333333333,0.9166666666666666,0.5092592592592592,0.611111111111111,0.7638888888888888,0.2777777777777778,0.8333333333333334,0.32051282051282054,0.4166666666666667,0.5952380952380952,0.3157894736842105,1.0,0.36585365853658536,0.4799999999999999,0.6976744186046512,customer,
supermarket,Round 4,5.0,6.0,11.0,1.0,0.0,0.0,0.5,0.9166666666666666,0.55,0.6470588235294118,0.7857142857142857,0.3125,0.8333333333333334,0.35714285714285715,0.45454545454545453,0.625,0.35294117647058826,1.0,0.4054054054054055,0.5217391304347826,0.7317073170731707,customer,
supermarket,Round 5,5.0,6.0,10.0,1.0,0.0,0.0,0.5238095238095238,0.9166666666666666,0.5729166666666666,0.6666666666666667,0.7971014492753623,0.3333333333333333,0.8333333333333334,0.37878787878787873,0.47619047619047616,0.6410256410256411,0.375,1.0,0.42857142857142855,0.5454545454545454,0.75,customer,
supermarket,Round 6,5.0,6.0,7.0,1.0,0.0,0.0,0.6111111111111112,0.9166666666666666,0.6547619047619048,0.7333333333333334,0.8333333333333334,0.4166666666666667,0.8333333333333334,0.462962962962963,0.5555555555555556,0.6944444444444445,0.46153846153846156,1.0,0.5172413793103449,0.631578947368421,0.8108108108108109,customer,
supermarket,Round 7,5.0,6.0,9.0,1.0,0.0,0.0,0.55,0.9166666666666666,0.5978260869565216,0.6874999999999999,0.8088235294117646,0.35714285714285715,0.8333333333333334,0.4032258064516129,0.5,0.6578947368421053,0.4,1.0,0.45454545454545453,0.5714285714285715,0.7692307692307692,customer,
supermarket,Round 8,5.0,6.0,19.0,1.0,0.0,0.0,0.36666666666666664,0.9166666666666666,0.41666666666666663,0.5238095238095238,0.7051282051282051,0.20833333333333334,0.8333333333333334,0.2450980392156863,0.33333333333333337,0.5208333333333334,0.24,1.0,0.2830188679245283,0.3870967741935484,0.6122448979591837,customer,
supermarket,Round 9,5.0,6.0,10.0,1.0,0.0,0.0,0.5238095238095238,0.9166666666666666,0.5729166666666666,0.6666666666666667,0.7971014492753623,0.3333333333333333,0.8333333333333334,0.37878787878787873,0.47619047619047616,0.6410256410256411,0.375,1.0,0.42857142857142855,0.5454545454545454,0.75,customer,
supermarket,Round 10,5.0,6.0,9.0,1.0,0.0,0.0,0.55,0.9166666666666666,0.5978260869565216,0.6874999999999999,0.8088235294117646,0.35714285714285715,0.8333333333333334,0.4032258064516129,0.5,0.6578947368421053,0.4,1.0,0.45454545454545453,0.5714285714285715,0.7692307692307692,customer,
supermarket,Average,5.0,5.9,11.5,1.0,0.1,0.0,0.5005952380952381,0.9083333333333332,0.5484078099838969,0.6414122315592905,0.7762618633142929,0.3189178876678877,0.8333333333333334,0.36258765722876174,0.457213108528898,0.6229865637760376,0.3544884496308645,0.9833333333333334,0.40518064280937793,0.5167593649430218,0.7178819556544214,,
