domain,concept,synonym 1,synonym 2,synonym 3,synonym 4,synonym 5,synonym 6,synonym 7,synonym 8,synonym 9
camperplus,camp worker,worker,staff,staff member,worker-camper,campworker,staffmember,camp staff member,camp staff,
camperplus,group,camp group,campergroup,campgroup,camper group,,,,,
camperplus,activity,camp activity,task,event,campactivity,,,,,
camperplus,guardian,parentguardian,parent,parent/guardian,camperparent,,,,,
camperplus,form,registrationform,consentform,medical form,medicalform,registration form,consent form,,,
camperplus,facility,camp facility,internal camp facility,campfacility,,,,,,
camperplus,feedback,message,,,,,,,,
camperplus,camper,enrolled camper,,,,,,,,
camperplus,counselor,camp counselor,,,,,,,,
camperplus,behavior,behaviorrecord,,,,,,,,
camperplus,attendance,attendancelog,AttendanceRecord,,,,,,,
fish&chips,delivery person,deliveryperson,home delivery person,delivery-person,deliveryemployee,delivery driver,delivery employee,,,
fish&chips,request,special request,specialrequest,,,,,,,
grocery,salary statement,employeepay,financial statement,salary,salarystatement,Financial Annual Statement,financialstatement,financial annual statement,statement,
grocery,working hour,scheduled Wwrk hours,workhour,work hour,workinghour,,,,,
grocery,schedule,work schedule,,,,,,,,
grocery,contract,employeecontract,employee contract,,,,,,,
grocery,certificate,employeecertificate,employee certificate,certification,,,,,,
grocery,manager,employer,,,,,,,,
planningpoker,estimators,participant,GameEstimator,gameparticipant,,,,,,
planningpoker,estimate,estimation,,,,,,,,
planningpoker,round,gameround,current round,,,,,,,
recycling,recycling facility,recycling center,special waste drop off site,facility,wastedropoffsite,waste drop off site,recyclingfacility,special waste drop off sites,center,facility
recycling,waste type,recyclable waste type,recyclable material,non-recycllable material,material,type of waste,type of recyclable waste,recyclable waste,recyclable waste,
recycling,feedback,question,userquestion,,,,,,,
recycling,safe disposal event,disposal event,safedisposalevent,,,,,,,
school,class,subject,course,,,,,,,
school,attendance,absence,student absence,student attendance,academic attendance,attendance record,,,,
school,student,child,,,,,,,,
school,assignment,homework,submission element,,,,,,,
school,submission,answer submission,homework submission,,,,,,,
school,administrator,administrative staff,,,,,,,,
school,timetable,schedule,,,,,,,,
school,digital learning module,DLM,digital learning modules (dlm),dlm (digital learning module),,,,,,
school,question,open question,multiple-choice question,,,,,,,
school,disciplinary action,disciplinary record,academic disciplinary action,disciplinaryaction,,,,,,
school,grade,academic grade,,,,,,,,
school,behavior,academic behavior,,,,,,,,
school,material,text,video,picture,,,,,,
sports,family membership,membership,familymembership,,,,,,,
sports,booking,book,,,,,,,,
sports,training sessions,trainingsession,session,PersonalTrainingSession,personal training session,personaltrainingsession,training,,,
sports,Payment Information,paymentinformation,,,,,,,,
sports,timeslot,time slot,lessontimeslot,,,,,,,
sports,room,practicearea,practice area,free practice area,,,,,,
supermarket,delivery,grocery delivery,delivery service,expressdelivery,deliveryservice,grocerydelivery,,,,
supermarket,recipe,recipe idea,,,,,,,,
supermarket,personal discount,discount,special personal discount,personaldiscount,,,,,,
supermarket,loyalty card,loyaltycard,loyalty_card,card,,,,,,
supermarket,newsletter,news letter,,,,,,,,
supermarket,shopping list,shoppinglist,shopping_list,grocerylist,,,,,,
supermarket,order,grocery order,grocery,,,,,,,
ticket,order,ticket order,ticketorder,,,,,,,
ticket,event type,eventtype,type,,,,,,,
ticket,user,attendance,,,,,,,,
ticket,event,show,,,,,,,,
ticket,seat,seating place,,,,,,,,
ticket,genre,genre preference,,,,,,,,
ticket,artist,artist preference,,,,,,,,
